Date,Open,High,Low,Close,Adj Close,Volume
2015-12-21,1.836000,1.948000,1.787000,1.911000,1.911000,182619
2015-12-22,1.929000,1.939000,1.863000,1.888000,1.888000,112282
2015-12-23,1.912000,2.009000,1.871000,1.983000,1.983000,102217
2015-12-24,1.994000,2.052000,1.977000,2.029000,2.029000,47512
2015-12-27,null,null,null,null,null,null
2015-12-28,2.082000,2.248000,2.067000,2.228000,2.228000,65772
2015-12-29,2.238000,2.387000,2.235000,2.372000,2.372000,169579
2015-12-30,2.322000,2.335000,2.188000,2.214000,2.214000,134926
2015-12-31,2.273000,2.378000,2.270000,2.337000,2.337000,144665
2016-01-03,null,null,null,null,null,null
2016-01-04,2.366000,2.375000,2.239000,2.334000,2.334000,135238
2016-01-05,2.290000,2.346000,2.255000,2.325000,2.325000,123923
2016-01-06,2.345000,2.360000,2.241000,2.267000,2.267000,166278
2016-01-07,2.290000,2.429000,2.271000,2.382000,2.382000,214462
2016-01-08,2.397000,2.495000,2.377000,2.472000,2.472000,163907
2016-01-10,null,null,null,null,null,null
2016-01-11,2.446000,2.480000,2.355000,2.396000,2.396000,146842
2016-01-12,2.362000,2.366000,2.241000,2.257000,2.257000,157603
2016-01-13,2.263000,2.323000,2.256000,2.269000,2.269000,137810
2016-01-14,2.274000,2.294000,2.126000,2.139000,2.139000,156658
2016-01-15,2.144000,2.153000,2.086000,2.100000,2.100000,103815
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,2.055000,2.170000,2.044000,2.091000,2.091000,133091
2016-01-20,2.091000,2.149000,2.067000,2.118000,2.118000,106102
2016-01-21,2.135000,2.189000,2.080000,2.138000,2.138000,161148
2016-01-22,2.149000,2.168000,2.112000,2.139000,2.139000,92561
2016-01-24,null,null,null,null,null,null
2016-01-25,2.156000,2.175000,2.081000,2.158000,2.158000,59778
2016-01-26,2.144000,2.219000,2.128000,2.180000,2.180000,47007
2016-01-27,2.177000,2.241000,2.161000,2.189000,2.189000,131832
2016-01-28,2.145000,2.231000,2.088000,2.182000,2.182000,183962
2016-01-29,2.224000,2.315000,2.218000,2.298000,2.298000,181501
2016-01-31,null,null,null,null,null,null
2016-02-01,2.213000,2.228000,2.127000,2.152000,2.152000,174774
2016-02-02,2.136000,2.140000,1.976000,2.025000,2.025000,215715
2016-02-03,2.036000,2.065000,1.992000,2.038000,2.038000,124472
2016-02-04,2.042000,2.048000,1.954000,1.972000,1.972000,153156
2016-02-05,1.981000,2.076000,1.981000,2.063000,2.063000,165224
2016-02-07,null,null,null,null,null,null
2016-02-08,2.106000,2.172000,2.105000,2.140000,2.140000,197084
2016-02-09,2.129000,2.134000,2.065000,2.098000,2.098000,144489
2016-02-10,2.097000,2.109000,2.017000,2.046000,2.046000,147136
2016-02-11,2.052000,2.093000,1.980000,1.994000,1.994000,163827
2016-02-12,1.994000,2.025000,1.951000,1.966000,1.966000,102013
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,1.952000,1.963000,1.879000,1.903000,1.903000,135735
2016-02-17,1.925000,1.960000,1.893000,1.942000,1.942000,108686
2016-02-18,1.948000,1.954000,1.849000,1.852000,1.852000,144732
2016-02-19,1.856000,1.870000,1.794000,1.804000,1.804000,110286
2016-02-21,null,null,null,null,null,null
2016-02-22,1.784000,1.821000,1.767000,1.821000,1.821000,92455
2016-02-23,1.832000,1.848000,1.773000,1.782000,1.782000,54649
2016-02-24,1.785000,1.808000,1.761000,1.778000,1.778000,41977
2016-02-25,1.773000,1.776000,1.682000,1.711000,1.711000,159634
2016-02-26,1.786000,1.805000,1.731000,1.791000,1.791000,115553
2016-02-28,null,null,null,null,null,null
2016-02-29,1.711000,1.737000,1.690000,1.711000,1.711000,173244
2016-03-01,1.707000,1.775000,1.685000,1.742000,1.742000,192966
2016-03-02,1.741000,1.746000,1.657000,1.678000,1.678000,128726
2016-03-03,1.672000,1.695000,1.630000,1.639000,1.639000,139558
2016-03-04,1.626000,1.675000,1.611000,1.666000,1.666000,100277
2016-03-06,null,null,null,null,null,null
2016-03-07,1.628000,1.740000,1.612000,1.690000,1.690000,158881
2016-03-08,1.707000,1.740000,1.678000,1.712000,1.712000,147454
2016-03-09,1.727000,1.784000,1.715000,1.752000,1.752000,160681
2016-03-10,1.764000,1.812000,1.733000,1.788000,1.788000,183310
2016-03-11,1.799000,1.859000,1.792000,1.822000,1.822000,135380
2016-03-13,null,null,null,null,null,null
2016-03-14,1.818000,1.857000,1.771000,1.819000,1.819000,111237
2016-03-15,1.832000,1.898000,1.808000,1.851000,1.851000,137266
2016-03-16,1.849000,1.879000,1.820000,1.868000,1.868000,112156
2016-03-17,1.869000,1.952000,1.830000,1.936000,1.936000,172241
2016-03-18,1.933000,1.957000,1.881000,1.907000,1.907000,122652
2016-03-20,null,null,null,null,null,null
2016-03-21,1.893000,1.908000,1.808000,1.828000,1.828000,139542
2016-03-22,1.813000,1.870000,1.796000,1.863000,1.863000,116291
2016-03-23,1.867000,1.899000,1.777000,1.794000,1.794000,121750
2016-03-24,1.791000,1.827000,1.772000,1.806000,1.806000,64618
2016-03-27,null,null,null,null,null,null
2016-03-28,1.785000,1.852000,1.766000,1.848000,1.848000,55160
2016-03-29,1.855000,1.914000,1.821000,1.903000,1.903000,149851
2016-03-30,1.979000,2.015000,1.963000,1.996000,1.996000,116072
2016-03-31,1.990000,2.028000,1.930000,1.959000,1.959000,184464
2016-04-01,1.963000,1.992000,1.925000,1.956000,1.956000,115458
2016-04-03,null,null,null,null,null,null
2016-04-04,1.988000,2.074000,1.976000,1.998000,1.998000,158616
2016-04-05,2.004000,2.041000,1.931000,1.954000,1.954000,136280
2016-04-06,1.941000,1.943000,1.897000,1.911000,1.911000,123746
2016-04-07,1.904000,2.024000,1.892000,2.018000,2.018000,214842
2016-04-08,2.015000,2.044000,1.986000,1.990000,1.990000,163135
2016-04-10,null,null,null,null,null,null
2016-04-11,1.951000,1.951000,1.907000,1.912000,1.912000,158321
2016-04-12,1.934000,2.030000,1.922000,2.004000,2.004000,175353
2016-04-13,2.016000,2.051000,2.002000,2.036000,2.036000,164613
2016-04-14,2.045000,2.048000,1.957000,1.970000,1.970000,147139
2016-04-15,1.961000,1.967000,1.885000,1.902000,1.902000,137689
2016-04-17,null,null,null,null,null,null
2016-04-18,1.882000,1.950000,1.872000,1.940000,1.940000,128242
2016-04-19,1.934000,2.096000,1.925000,2.088000,2.088000,179590
2016-04-20,2.089000,2.137000,2.054000,2.069000,2.069000,189782
2016-04-21,2.073000,2.107000,2.053000,2.068000,2.068000,147696
2016-04-22,2.061000,2.147000,2.034000,2.140000,2.140000,155814
2016-04-24,null,null,null,null,null,null
2016-04-25,2.160000,2.176000,2.043000,2.063000,2.063000,66033
2016-04-26,2.072000,2.082000,1.993000,2.032000,2.032000,55326
2016-04-27,2.035000,2.064000,1.950000,1.995000,1.995000,179928
2016-04-28,2.149000,2.155000,2.054000,2.078000,2.078000,181446
2016-04-29,2.060000,2.195000,2.042000,2.178000,2.178000,228083
2016-05-01,null,null,null,null,null,null
2016-05-02,2.132000,2.143000,2.026000,2.042000,2.042000,161764
2016-05-03,2.053000,2.104000,2.041000,2.086000,2.086000,125188
2016-05-04,2.086000,2.160000,2.061000,2.141000,2.141000,131086
2016-05-05,2.143000,2.179000,2.068000,2.076000,2.076000,148472
2016-05-06,2.084000,2.109000,2.045000,2.101000,2.101000,128478
2016-05-08,null,null,null,null,null,null
2016-05-09,2.104000,2.126000,2.080000,2.098000,2.098000,109455
2016-05-10,2.100000,2.173000,2.091000,2.158000,2.158000,137449
2016-05-11,2.164000,2.183000,2.114000,2.173000,2.173000,154963
2016-05-12,2.163000,2.185000,2.125000,2.155000,2.155000,144823
2016-05-13,2.134000,2.164000,2.075000,2.096000,2.096000,169395
2016-05-15,null,null,null,null,null,null
2016-05-16,2.080000,2.087000,2.023000,2.029000,2.029000,122627
2016-05-17,2.037000,2.083000,2.030000,2.048000,2.048000,114930
2016-05-18,2.054000,2.057000,1.994000,2.001000,2.001000,129144
2016-05-19,2.010000,2.052000,1.952000,2.039000,2.039000,175780
2016-05-20,2.037000,2.074000,2.015000,2.062000,2.062000,108443
2016-05-22,null,null,null,null,null,null
2016-05-23,2.093000,2.133000,2.050000,2.055000,2.055000,106263
2016-05-24,2.064000,2.087000,1.976000,1.980000,1.980000,80233
2016-05-25,1.980000,2.008000,1.955000,1.992000,1.992000,54778
2016-05-26,1.972000,1.985000,1.909000,1.963000,1.963000,148832
2016-05-27,2.145000,2.191000,2.101000,2.169000,2.169000,124443
2016-05-29,null,null,null,null,null,null
2016-05-31,2.160000,2.303000,2.151000,2.288000,2.288000,194034
2016-06-01,2.287000,2.386000,2.277000,2.381000,2.381000,209914
2016-06-02,2.369000,2.424000,2.361000,2.405000,2.405000,155782
2016-06-03,2.404000,2.454000,2.387000,2.398000,2.398000,135938
2016-06-05,null,null,null,null,null,null
2016-06-06,2.439000,2.480000,2.399000,2.466000,2.466000,150658
2016-06-07,2.444000,2.491000,2.408000,2.474000,2.474000,169660
2016-06-08,2.481000,2.501000,2.453000,2.468000,2.468000,163427
2016-06-09,2.465000,2.630000,2.451000,2.617000,2.617000,280217
2016-06-10,2.593000,2.609000,2.551000,2.556000,2.556000,165068
2016-06-12,null,null,null,null,null,null
2016-06-13,2.595000,2.635000,2.570000,2.585000,2.585000,163311
2016-06-14,2.576000,2.621000,2.535000,2.604000,2.604000,158697
2016-06-15,2.607000,2.634000,2.586000,2.595000,2.595000,107729
2016-06-16,2.592000,2.639000,2.553000,2.580000,2.580000,149526
2016-06-17,2.584000,2.656000,2.554000,2.623000,2.623000,127814
2016-06-19,null,null,null,null,null,null
2016-06-20,2.652000,2.759000,2.650000,2.747000,2.747000,158498
2016-06-21,2.743000,2.786000,2.710000,2.768000,2.768000,124578
2016-06-22,2.765000,2.775000,2.657000,2.677000,2.677000,142665
2016-06-23,2.670000,2.720000,2.614000,2.698000,2.698000,141679
2016-06-24,2.703000,2.703000,2.625000,2.662000,2.662000,46173
2016-06-26,null,null,null,null,null,null
2016-06-27,2.636000,2.736000,2.631000,2.716000,2.716000,45353
2016-06-28,2.726000,2.934000,2.721000,2.917000,2.917000,176680
2016-06-29,2.879000,2.974000,2.844000,2.863000,2.863000,147245
2016-06-30,2.863000,2.945000,2.851000,2.924000,2.924000,160700
2016-07-01,2.931000,2.998000,2.891000,2.987000,2.987000,114642
2016-07-03,null,null,null,null,null,null
2016-07-05,2.915000,2.945000,2.752000,2.764000,2.764000,176555
2016-07-06,2.768000,2.802000,2.697000,2.786000,2.786000,135881
2016-07-07,2.803000,2.841000,2.725000,2.777000,2.777000,138168
2016-07-08,2.758000,2.825000,2.748000,2.801000,2.801000,98786
2016-07-10,null,null,null,null,null,null
2016-07-11,2.819000,2.871000,2.696000,2.702000,2.702000,151030
2016-07-12,2.717000,2.751000,2.687000,2.734000,2.734000,143029
2016-07-13,2.738000,2.799000,2.702000,2.737000,2.737000,131498
2016-07-14,2.751000,2.769000,2.709000,2.727000,2.727000,126994
2016-07-15,2.730000,2.778000,2.669000,2.756000,2.756000,122444
2016-07-17,null,null,null,null,null,null
2016-07-18,2.775000,2.799000,2.708000,2.722000,2.722000,89832
2016-07-19,2.733000,2.787000,2.714000,2.728000,2.728000,105285
2016-07-20,2.722000,2.730000,2.648000,2.658000,2.658000,125798
2016-07-21,2.665000,2.710000,2.625000,2.692000,2.692000,120585
2016-07-22,2.688000,2.795000,2.660000,2.777000,2.777000,95596
2016-07-24,null,null,null,null,null,null
2016-07-25,2.779000,2.818000,2.728000,2.747000,2.747000,46357
2016-07-26,2.733000,2.772000,2.682000,2.712000,2.712000,54031
